,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
AYALA CORPORATION,3,9/30/21,1,6.12,0.0074,0.0213,15.82,9.89,414715.48,-2.04,6.79,89.53,573.71,12.86,37.52
AYALA CORPORATION,4,12/31/21,0,5.88,0.0244,0.0171,9.74,9.4,433128.85,-5.21,6.65,89.98,582.86,14.14,37.96
AYALA CORPORATION,1,3/31/22,0,5.02,0.0113,-0.0084,16.87,10.56,454979.99,-11.19,9.94,90.52,577.45,13.61,37.92
AYALA CORPORATION,2,6/30/22,0,5.46,-0.1455,-0.2718,11.8,9.71,490936.77,-3.98,9.02,98.02,581.38,11.1,39.59
AYALA CORPORATION,3,9/30/22,1,5.4,-0.0673,0.0267,6.05,8.02,505782.14,0.00,0,97.91,581.22,4.51,39.42
AYALA CORPORATION,4,12/29/22,0,5.02,0.1438,0.1282,12.21,8.6,523920.86,-14.33,7.79,97.63,594.08,15.48,39.92
AYALA CORPORATION,1,3/31/23,0,4.81,-0.0102,-0.0647,7.66,7.11,520619.73,-15.06,6.83,94.38,622.91,11.3,39.38
AYALA CORPORATION,2,6/30/23,0,4.89,-0.0049,-0.0385,21.34,8.76,521842.03,0.00,0,90.03,642.38,19.94,38.86
AYALA LAND INC,4,12/29/16,0,7.28,-0.1034,-0.1847,23.53,23.73,240675.17,-4.03,10.23,82.27,372.29,12.81,33.29
AYALA LAND INC,1,3/31/17,0,8.05,0.0689,0.0328,26.43,24.42,249854.63,-3.05,10.78,80.19,381.6,14.37,32.87
AYALA LAND INC,2,6/30/17,1,8.43,0.0727,0.2027,28.05,26.14,263067.86,0.00,0,87.08,394.93,13.67,34.71
AYALA LAND INC,3,9/29/17,1,8.17,0.0419,0.0943,-5.19,17.6,274888.85,0.00,0,85.29,401.02,12.76,34.32
AYALA LAND INC,4,12/29/17,0,8.1,0.0474,0.0253,27.41,19.17,296577.2,0.00,0,88.75,407.52,11.96,35.32
AYALA LAND INC,1,3/28/18,0,8.14,-0.0676,-0.0785,25.07,19.79,324955.78,0.00,0,92.99,417.52,11.93,36.73
AYALA LAND INC,2,6/29/18,1,8.5,-0.0985,-0.0779,20.74,17.6,324884.72,0.00,0,90,445.08,11.61,36.25
AYALA LAND INC,3,9/28/18,1,8.41,0.0116,0.0567,-10.22,16.34,336444.08,0.00,0,87.88,449.41,14.41,34.41
AYALA LAND INC,4,12/28/18,0,8.76,0.026,0.0137,20.43,13.99,346724.28,0.00,0,89.01,472.5,13.04,34.81
AYALA LAND INC,1,3/29/19,1,9.8,0.0609,0.1059,53.77,19.08,362383.51,0.00,0,86.22,525.4,45.1,35.5
AYALA LAND INC,2,6/28/19,1,9.81,0.0099,0.1314,18.82,17.66,340855.95,-2.51,10.09,77.48,532.97,13.05,32.65
AYALA LAND INC,3,9/30/19,1,9,-0.0276,-0.0266,9.83,22.26,311200.19,0.00,0,83.98,513.19,-14.82,31.79
AYALA LAND INC,4,12/27/19,0,8.65,0.0047,-0.0799,16.98,20.48,338816.07,-28.33,22.43,88.39,519.75,12.49,33.29
AYALA LAND INC,1,3/31/20,0,8.33,-0.3191,-0.3363,8.7,9.48,357943.19,-17.78,6.57,92.47,514.03,4.1,34.19
AYALA LAND INC,2,6/30/20,0,7.72,0.1666,0.1192,10.74,7.27,348803.68,-22.74,5.8,85.28,525.34,7.06,32.45
AYALA LAND INC,3,9/30/20,0,8.76,-0.0553,-0.1213,10.29,7.1,376395.61,0.00,0,85.89,529.12,9.55,33.14
AYALA LAND INC,4,12/29/20,1,8.12,0.2175,0.3771,12.37,6.21,378684.37,-0.90,4.58,83.62,540.86,10.28,33.03
AYALA LAND INC,1,3/31/21,0,7.97,-0.0976,-0.1601,11.95,7.35,388183.27,5.56,5.02,87.41,550.85,9.25,36.04
AYALA LAND INC,2,6/30/21,0,7.32,0.0712,0.0495,19.96,8.83,408927.65,-5.81,6.03,97.14,559.63,16.72,39.33
AYALA LAND INC,3,9/30/21,0,7.77,0.0074,-0.0707,15.82,9.89,414715.48,-2.04,6.79,89.53,573.71,12.86,37.52
AYALA LAND INC,4,12/31/21,1,7.2,0.0244,0.0955,9.74,9.4,433128.85,-5.21,6.65,89.98,582.86,14.14,37.96
AYALA LAND INC,1,3/31/22,0,6.14,0.0113,-0.045,16.87,10.56,454979.99,-11.19,9.94,90.52,577.45,13.61,37.92
AYALA LAND INC,2,6/30/22,0,5.82,-0.1455,-0.2725,11.8,9.71,490936.77,-3.98,9.02,98.02,581.38,11.1,39.59
AYALA LAND INC,3,9/30/22,0,6.88,-0.0673,-0.1039,6.05,8.02,505782.14,0.00,0,97.91,581.22,4.51,39.42
AYALA LAND INC,4,12/29/22,1,5.88,0.1438,0.3479,12.21,8.6,523920.86,-14.33,7.79,97.63,594.08,15.48,39.92
AYALA LAND INC,1,3/31/23,0,5.38,-0.0102,-0.1396,7.66,7.11,520619.73,-15.06,6.83,94.38,622.91,11.3,39.38
AYALA LAND INC,2,6/30/23,0,6.64,-0.0049,-0.083,21.34,8.76,521842.03,0.00,0,90.03,642.38,19.94,38.86
BANK OF THE PHILIPPINE ISLAN,4,12/29/16,0,5.36,-0.1034,-0.1543,44.67,17.44,-271836.28,-7.20,7.18,35.37,38.93,34.82,3.56
BANK OF THE PHILIPPINE ISLAN,1,3/31/17,1,5.27,0.0689,0.1396,37.99,15.94,-262291.78,-1.03,6.51,24.42,39.3,31.29,2.51
BANK OF THE PHILIPPINE ISLAN,2,6/30/17,0,4.82,0.0727,0.0277,39.24,15.95,-264023.9,0.00,0,27.01,40.56,30.26,2.73
BANK OF THE PHILIPPINE ISLAN,3,9/29/17,0,5.04,0.0419,-0.0438,43.96,16.59,-239337,0.00,0,46.16,40.94,33.14,4.45
BANK OF THE PHILIPPINE ISLAN,4,12/29/17,1,5.86,0.0474,0.087,42.91,15.82,-253948.2,0.00,0,34.76,42.94,33.86,3.49
BANK OF THE PHILIPPINE ISLAN,1,3/28/18,1,5.62,-0.0676,0.0823,32.87,13.63,-247556.58,0.00,0,21.96,48.86,25.46,2.8
BANK OF THE PHILIPPINE ISLAN,2,6/29/18,0,5.23,-0.0985,-0.2436,40.02,13.68,-182400.84,0.00,0,41.07,50.13,30.43,5.21
BANK OF THE PHILIPPINE ISLAN,3,9/28/18,0,5.76,0.0116,-0.0588,39.82,13.89,-145354,0.00,0,67.94,50.66,30.75,8.2
BANK OF THE PHILIPPINE ISLAN,4,12/28/18,1,4.86,0.026,0.1285,39.12,13.8,-162971.43,0.00,0,54.56,52.35,29.5,6.81
BANK OF THE PHILIPPINE ISLAN,1,3/29/19,0,4.48,0.0609,-0.1043,39.92,13.56,-147820.68,0.00,0,53.09,52.92,30.34,6.54
BANK OF THE PHILIPPINE ISLAN,2,6/28/19,0,5.45,0.0099,-0.0677,44.6,14.48,-122485.35,-10.03,8.67,57.67,54.54,33.04,7.36
BANK OF THE PHILIPPINE ISLAN,3,9/30/19,1,5.14,-0.0276,0.1847,42.42,14.81,-146244,0.00,0,56.32,54.89,31.85,6.97
BANK OF THE PHILIPPINE ISLAN,4,12/27/19,0,5.23,0.0047,-0.0548,34.27,14.31,-172332.45,5.08,13.6,53.03,55.45,25.87,6.68
BANK OF THE PHILIPPINE ISLAN,1,3/31/20,1,5.25,-0.3191,-0.2969,18.87,12.53,-237431.51,3.50,10.39,49.15,56.69,19.67,6.14
BANK OF THE PHILIPPINE ISLAN,2,6/30/20,0,4.92,0.1666,0.165,28.24,10.7,-164481.27,3.70,10.22,54.45,57.72,22.32,7.1
BANK OF THE PHILIPPINE ISLAN,3,9/30/20,0,5.15,-0.0553,-0.1111,20.53,9.38,-178133,0.00,0,54.42,56.9,16.48,6.87
BANK OF THE PHILIPPINE ISLAN,4,12/29/20,1,5.7,0.2175,0.2711,36.56,9.47,-154780.44,5.86,7.12,47.07,57.09,20.58,6.15
BANK OF THE PHILIPPINE ISLAN,1,3/31/21,1,5.8,-0.0976,0.0018,36.26,10.54,-185167.28,3.58,7.43,46.03,58.13,28.63,6.09
BANK OF THE PHILIPPINE ISLAN,2,6/30/21,1,5.26,0.0712,0.0883,31.32,10.49,-285900.95,19.42,8.21,32.35,59.34,24.07,4.21
BANK OF THE PHILIPPINE ISLAN,3,9/30/21,0,5.77,0.0074,-0.0817,33.57,11.71,-273402,15.58,8.06,32.52,59.59,24.84,3.96
BANK OF THE PHILIPPINE ISLAN,4,12/31/21,1,6.05,0.0244,0.1314,40.51,12.03,-178341.92,6.84,7.77,36.68,61,31.48,4.66
BANK OF THE PHILIPPINE ISLAN,1,3/31/22,1,6.04,0.0113,0.0808,51.17,14.51,-208163.26,15.61,11.19,27.13,61.83,38.61,3.37
BANK OF THE PHILIPPINE ISLAN,2,6/30/22,0,6.74,-0.1455,-0.1486,43.85,16.04,-181873.87,4.50,12.01,28.07,63.72,33.87,3.5
BANK OF THE PHILIPPINE ISLAN,3,9/30/22,1,6.74,-0.0673,0.0554,37.28,16.82,-179664,0.00,0,31.39,64.61,29.36,3.86
BANK OF THE PHILIPPINE ISLAN,4,12/29/22,0,7.33,0.1438,0.1397,49.35,17.97,-231715.45,3.92,11.52,30.58,73.19,38.26,3.82
BANK OF THE PHILIPPINE ISLAN,1,3/31/23,1,7.76,-0.0102,0.0049,48.85,17.74,-186124.98,-2.49,10.84,32.55,67.96,38.44,4.1
BANK OF THE PHILIPPINE ISLAN,2,6/30/23,1,8.13,-0.0049,0.0615,48.33,18.33,-182366.83,0.00,0,29.76,70.7,38.16,3.86
BDO UNIBANK INC,4,12/29/16,1,6.53,-0.1034,0.0209,25.33,14.17,-358451,-7.98,7.02,32.5,52.77,19.54,3.83
BDO UNIBANK INC,1,3/31/17,0,6.49,0.0689,0.0491,29.6,13.54,-297299,-12.01,6.33,36.79,54.07,23.26,4.31
BDO UNIBANK INC,2,6/30/17,0,6.54,0.0727,0.0544,29.17,14.03,-327281,0.00,0,45.38,55.1,21.64,5.1
BDO UNIBANK INC,3,9/29/17,1,7.89,0.0419,0.054,31.93,14.9,-314364,0.00,0,43.74,55.76,22.43,4.89
BDO UNIBANK INC,4,12/29/17,1,7.08,0.0474,0.2548,24.65,13.38,-311438,0.00,0,50.49,56.01,17.77,5.41
BDO UNIBANK INC,1,3/28/18,0,6.94,-0.0676,-0.1524,28.81,13.42,-324731,0.00,0,47.37,56.75,20.37,5
BDO UNIBANK INC,2,6/29/18,1,6.54,-0.0985,-0.0971,30.14,13.79,-299799,0.00,0,47.57,58.28,21.75,5.08
BDO UNIBANK INC,3,9/28/18,0,6.96,0.0116,-0.0454,32.82,14.2,-319550,0.00,0,43.77,61.39,26.98,4.75
