,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
METROPOLITAN BANK & TRUST,2,6/30/23,0,3.59,-0.0049,-0.0479,42.74,16.4,-243427,0.00,0,39.78,76.09,31.4,4.74
PETRON CORP,4,12/29/16,1,0.58,-0.1034,-0.0226,8.32,31.63,151268,-3.59,32.23,184.02,9.29,4.9,52.81
PETRON CORP,1,3/31/17,0,0.57,0.0689,-0.1055,5.67,30.55,150844,-0.72,29.61,179.17,9.64,2.34,53.74
PETRON CORP,2,6/30/17,1,0.59,0.0727,0.0876,7.05,32.8,144259,0.00,0,168.98,9.8,3,50.78
PETRON CORP,3,9/29/17,1,0.49,0.0419,0.0826,4.6,31.03,153904,0.00,0,171.94,9.99,1.63,50.67
PETRON CORP,4,12/29/17,0,0.53,0.0474,-0.125,6.81,29.11,153168,0.00,0,159.77,10.92,4.28,49
PETRON CORP,1,3/28/18,1,0.56,-0.0676,0.0087,4.69,29.31,165994,0.00,0,169.69,11.21,2.33,51.44
PETRON CORP,2,6/29/18,1,0.54,-0.0985,-0.04,4.57,31.22,177908,0.00,0,216.05,9.21,1.53,52.47
PETRON CORP,3,9/28/18,0,0.47,0.0116,-0.0214,-2.42,21.86,183505,0.00,0,233.21,8.48,-3.57,56.12
PETRON CORP,4,12/28/18,0,0.37,0.026,-0.1128,3.91,16.62,184263,0.00,0,253.67,8.31,0.89,56.34
PETRON CORP,1,3/29/19,0,0.33,0.0609,-0.1582,3.78,12.99,169232,0.00,0,201.52,10.39,0.86,54.67
PETRON CORP,2,6/28/19,0,0.29,0.0099,-0.1032,3.22,11.49,176890,-64.01,22.49,220.92,10.37,0.7,58.2
PETRON CORP,3,9/30/19,0,0.22,-0.0276,-0.1409,1.75,19.62,185471,0.00,0,237.93,9.13,-1.06,55.7
PETRON CORP,4,12/27/19,0,0.21,0.0047,-0.228,-4.21,8.95,196199,-86.41,29.2,273.48,8.2,-4.41,61.7
PETRON CORP,1,3/31/20,0,0.22,-0.3191,-0.3446,-21.23,-11.67,187439,-35.59,-28.07,282.59,4.48,-19.16,64.61
PETRON CORP,2,6/30/20,1,0.23,0.1666,0.2213,6.52,-11.51,183520,21.72,-28.2,258.79,4.52,2.07,62.9
PETRON CORP,3,9/30/20,1,0.25,-0.0553,-0.0162,8.24,-5.6,185456,0.00,0,247.07,8.51,1.52,60.89
PETRON CORP,4,12/29/20,1,0.21,0.2175,0.3125,4.39,4.43,179262,35.94,11.99,246.88,8.37,1.68,60.55
PETRON CORP,1,3/31/21,0,0.22,-0.0976,-0.2331,5.82,25.38,169650,-9.22,60.42,177.89,11.37,2.21,54.99
PETRON CORP,2,6/30/21,1,0.2,0.0712,0.0882,3.8,25.5,177688,-32.73,66.31,185.28,11.5,0.86,55.5
PETRON CORP,3,9/30/21,0,0.2,0.0074,-0.0751,2.6,18.78,190659,-94.55,57.93,205.02,11.05,0.65,55.81
PETRON CORP,4,12/31/21,1,0.2,0.0244,0.0292,4.89,23.79,193838,-108.06,71.06,201.06,11.34,1.88,54.97
PETRON CORP,1,3/31/22,1,0.21,0.0113,0.041,3.35,22.47,216152,-163.96,85.48,224.94,11.68,1.55,53.92
PETRON CORP,2,6/30/22,1,0.19,-0.1455,-0.0818,0.21,18.69,226003,-166.08,84.92,228.71,11.68,0.16,57.68
PETRON CORP,3,9/30/22,0,0.16,-0.0673,-0.1584,1.2,18.41,221105,0.00,0,229.01,11.22,-0.62,56.52
PETRON CORP,4,12/29/22,0,0.22,0.1438,-0.0588,4.46,18.26,205828,6.11,61.13,211.64,11.09,1.61,54.14
PETRON CORP,1,3/31/23,1,0.23,-0.0102,0.3958,4.26,18.08,190047,131.08,59.04,208.08,10.98,1.46,52.6
PETRON CORP,2,6/30/23,1,0.23,-0.0049,0.0358,4.99,29.31,226051,0.00,0,251.9,9.95,1.41,56.16
PLDT INC,4,12/29/16,0,5.37,-0.1034,-0.2027,22.23,24.1,134743,2.83,7.26,158.74,506.69,12.63,37.47
PLDT INC,1,3/31/17,1,5.31,0.0689,0.2059,18.97,26.83,130514,-0.26,7.91,142.31,546.39,29.04,37.58
PLDT INC,2,6/30/17,1,4.71,0.0727,0.0923,15.73,27.87,140489,0.00,0,147.1,527.2,13.38,38.66
PLDT INC,3,9/29/17,0,3.96,0.0419,-0.0723,-32.76,8.89,138532,0.00,0,155.25,492.28,-21.34,37.57
PLDT INC,4,12/29/17,0,4.23,0.0474,-0.1127,17.15,7.11,134319,0.00,0,151.86,502.59,17.03,36.83
PLDT INC,1,3/28/18,1,4.22,-0.0676,-0.0068,18.98,7.03,127120,0.00,0,156.36,521.64,11.65,38.85
PLDT INC,2,6/29/18,0,4.36,-0.0985,-0.1224,16.55,7.63,129171,0.00,0,157.52,504.48,11.15,38.06
PLDT INC,3,9/28/18,1,3.55,0.0116,0.0465,-19.34,12.63,123457,0.00,0,151.09,517.81,6.57,36.52
PLDT INC,4,12/28/18,0,3.41,0.026,-0.1667,25.37,15.76,145753,0.00,0,168.14,503.94,16.51,38.5
PLDT INC,1,3/29/19,0,3.79,0.0609,0.0222,24.33,17.02,163072,0.00,0,164.63,527.15,13.29,38.9
PLDT INC,2,6/28/19,1,3.42,0.0099,0.1217,19.71,19.17,169681,8.27,8.57,174.87,507.79,8.93,39.18
PLDT INC,3,9/30/19,0,2.97,-0.0276,-0.1225,23.82,35.29,184188,0.00,0,179.61,516.1,14.58,39.78
PLDT INC,4,12/27/19,0,4.92,0.0047,-0.1272,25.47,37.05,184985,-4.34,16.49,196.12,500.98,13.55,40.65
PLDT INC,1,3/31/20,1,4.69,-0.3191,0.1427,25.06,35.88,204413,-17.55,15.16,211.27,529.59,14.78,45.17
PLDT INC,2,6/30/20,0,5.29,0.1666,0.1072,25.45,39.74,207067,-10.36,15.35,203.04,526.89,15.93,44.01
PLDT INC,3,9/30/20,1,4.37,-0.0553,0.0712,5.09,31.97,201396,0.00,0,202.89,531.94,9.62,42.16
PLDT INC,4,12/29/20,0,4.39,0.2175,0.0007,21.23,32.46,209352,0.56,13.36,212.9,504.21,12.11,41.4
PLDT INC,1,3/31/21,1,4.35,-0.0976,-0.0888,19.81,29.42,231405,6.71,12.13,212.93,536.86,14.92,42.77
PLDT INC,2,6/30/21,0,5.59,0.0712,0.059,23.27,29.42,248821,-0.12,9.17,228.32,520.65,12.28,43.71
PLDT INC,3,9/30/21,1,5.84,0.0074,0.2993,20.06,34.31,248095,-1.13,10.41,215.15,568.08,15.22,43.79
PLDT INC,4,12/31/21,1,5.78,0.0244,0.0786,16.32,33.48,249087,-2.24,9.69,218.7,566.52,18.22,43.86
PLDT INC,1,3/31/22,1,6.15,0.0113,0.021,-8.71,20.25,248293,1.57,6.84,218.96,598.43,15.12,44.66
PLDT INC,2,6/30/22,1,5.85,-0.1455,-0.0919,24.3,22.17,272537,8.53,8,230.35,568.52,20.86,45.82
PLDT INC,3,9/30/22,0,4.48,-0.0673,-0.1024,-41.02,-4.58,266421,0.00,0,256.24,501,-32.29,46.79
PLDT INC,4,12/29/22,0,4.8,0.1438,-0.1267,24.19,-0.67,259868,16.05,-0.25,260.25,482.7,17.22,46.41
PLDT INC,1,3/31/23,1,4.42,-0.0102,0.0782,25.22,13.78,294136,11.23,5.9,260.97,524.69,18.26,49.72
PLDT INC,2,6/30/23,0,4.03,-0.0049,-0.0761,26.9,15.62,294470,0.00,0,269.6,516.81,18.02,49.98
PUREGOLD PRICE CLUB INC,4,12/29/16,1,1.07,-0.1034,0,6.73,19.72,5643.8,-0.54,6.85,16.23,16.07,4.63,11.69
PUREGOLD PRICE CLUB INC,1,3/31/17,0,1.13,0.0689,0,6.03,19.53,4772.51,0.00,6.84,14.62,16.51,4.18,10.75
PUREGOLD PRICE CLUB INC,2,6/30/17,0,1.26,0.0727,0.0195,6.61,19.05,4158.97,0.00,0,12.6,17.02,4.55,9.29
PUREGOLD PRICE CLUB INC,3,9/29/17,1,1.15,0.0419,0.1706,11.08,21.75,23573.77,0.00,0,67.91,16.87,4.3,34.51
PUREGOLD PRICE CLUB INC,4,12/29/17,0,1.25,0.0474,-0.0412,7.63,21.9,6861.26,0.00,0,19.03,17.86,4.37,13.93
PUREGOLD PRICE CLUB INC,1,3/28/18,1,1.18,-0.0676,0.049,6.71,22.21,3532.54,0.00,0,11.98,18.46,4.91,8.95
PUREGOLD PRICE CLUB INC,2,6/29/18,0,1.12,-0.0985,-0.1115,7.13,22.54,3062.09,0.00,0,10.63,19.01,4.07,7.97
PUREGOLD PRICE CLUB INC,3,9/28/18,0,1.04,0.0116,-0.0343,7.5,20.53,23785.57,0.00,0,65.1,19.17,4.27,34.22
PUREGOLD PRICE CLUB INC,4,12/28/18,0,1.1,0.026,-0.0444,7.37,19.36,19882.65,0.00,0,47.09,20.39,4.33,28.99
PUREGOLD PRICE CLUB INC,1,3/29/19,1,1.01,0.0609,0.1186,6.12,18.84,18431.28,0.00,0,45.59,20.87,3.63,28.67
PUREGOLD PRICE CLUB INC,2,6/28/19,0,0.91,0.0099,-0.0655,7.24,18.77,18736.45,3.06,9.72,44.34,21.56,4.45,28.51
PUREGOLD PRICE CLUB INC,3,9/30/19,0,0.92,-0.0276,-0.1313,8.48,19.81,14198.94,0.00,0,50.59,21.57,4.97,28.83
PUREGOLD PRICE CLUB INC,4,12/27/19,1,1.22,0.0047,0.0179,7.24,19.28,14826.44,2.82,11.25,48.97,22.07,4.31,29.05
PUREGOLD PRICE CLUB INC,1,3/31/20,1,1.34,-0.3191,-0.083,6.7,19.66,12892.63,2.40,9.23,46.09,22.75,3.98,27.63
PUREGOLD PRICE CLUB INC,2,6/30/20,1,1.49,0.1666,0.2716,7.1,19.1,15576.55,-6.37,8.71,63.21,23.33,4.22,35.03
PUREGOLD PRICE CLUB INC,3,9/30/20,1,1.03,-0.0553,0.0572,10.23,20.49,10367.28,0.00,0,66.43,23.87,6.35,34.58
PUREGOLD PRICE CLUB INC,4,12/29/20,0,1.09,0.2175,-0.1633,8.76,20.42,21036.44,-7.95,12.15,64.45,12.23,5.36,35.65
PUREGOLD PRICE CLUB INC,1,3/31/21,1,1.05,-0.0976,-0.0415,7.38,20.02,15663.2,-8.12,11.86,63.94,25.26,5.11,35.78
PUREGOLD PRICE CLUB INC,2,6/30/21,0,1.14,0.0712,0.0305,7.48,19.73,15354.47,2.57,10.91,62.28,25.87,4.48,35.27
PUREGOLD PRICE CLUB INC,3,9/30/21,1,0.97,0.0074,0.0988,7.93,17.98,5347.1,2.47,11.48,61.86,26.31,5,33.49
PUREGOLD PRICE CLUB INC,4,12/31/21,0,0.86,0.0244,-0.1169,8.96,17.67,11344.19,2.88,12.76,60.26,26.92,5.59,34.13
PUREGOLD PRICE CLUB INC,1,3/31/22,0,0.85,0.0113,-0.0903,7.6,17.85,13092.03,3.65,15.72,59.69,27.77,4.68,34.19
PUREGOLD PRICE CLUB INC,2,6/30/22,0,0.84,-0.1455,-0.158,7.75,18.15,18170.53,4.07,17.48,59.45,28.56,5.02,34.24
PUREGOLD PRICE CLUB INC,3,9/30/22,1,0.91,-0.0673,-0.0615,7.39,18.32,7240.88,0.00,0,61.57,28.84,4.96,31.07
PUREGOLD PRICE CLUB INC,4,12/29/22,1,0.81,0.1438,0.2354,8.07,17.96,17575.89,4.98,16.28,60.54,29.68,5.43,32.92
PUREGOLD PRICE CLUB INC,1,3/31/23,0,0.76,-0.0102,-0.1032,6.6,17.26,17306.37,5.95,17.07,59.8,30.38,4.25,33.45
PUREGOLD PRICE CLUB INC,2,6/30/23,0,0.76,-0.0049,-0.0607,7,16.63,18063.48,0.00,0,59.37,31.15,4.6,33.25
ROBINSONS LAND CO,4,12/29/16,0,1.12,-0.1034,-0.1613,36.22,13.61,39610.5,16.15,8.77,67.98,14.76,25.4,33.01
ROBINSONS LAND CO,1,3/31/17,0,1.02,0.0689,-0.1154,39.56,13.61,41642.67,19.07,8.43,68.32,15.11,27.55,33.55
ROBINSONS LAND CO,2,6/30/17,0,1.02,0.0727,0.0543,41.66,13.75,44752.77,0.00,0,70.73,15.52,29.36,34.19
ROBINSONS LAND CO,3,9/29/17,1,0.81,0.0419,0.0433,34.77,13.33,49279.11,0.00,0,76.22,15.84,22.33,34.67
ROBINSONS LAND CO,4,12/29/17,0,1.17,0.0474,-0.1581,35.59,11.73,32435.17,0.00,0,40.48,17.05,24.27,23.6
ROBINSONS LAND CO,1,3/28/18,1,1.04,-0.0676,-0.0638,38.21,12.1,34609.93,0.00,0,42.26,17.03,26.47,24.18
ROBINSONS LAND CO,2,6/29/18,1,1.12,-0.0985,-0.0672,49.26,14.47,29249.57,0.00,0,40.93,17.66,35.26,22.69
ROBINSONS LAND CO,3,9/28/18,1,1.09,0.0116,0.0914,32.97,14.79,34841.4,0.00,0,39.81,18,21.63,21.47
ROBINSONS LAND CO,4,12/28/18,0,1.25,0.026,-0.0074,37.71,13.33,33494.87,0.00,0,37.22,18.36,26.27,20.46
ROBINSONS LAND CO,1,3/29/19,1,1.33,0.0609,0.2159,38.62,13.94,32585.73,0.00,0,37.93,18.28,27.1,20.05
ROBINSONS LAND CO,2,6/28/19,1,1.27,0.0099,0.0755,42.06,12.1,39166.47,-0.39,8.84,42.15,18.79,30.89,23.5
ROBINSONS LAND CO,3,9/30/19,0,1.42,-0.0276,-0.0702,42.06,12.73,38082.42,0.00,0,45.11,19.16,29.23,23.8
ROBINSONS LAND CO,4,12/27/19,1,1.11,0.0047,0.1245,36.64,14.3,41237.52,-9.45,18.37,45.91,19.76,25.64,24.47
ROBINSONS LAND CO,1,3/31/20,0,1.12,-0.3191,-0.4613,25.18,12.44,35489.63,-14.68,13.4,52.81,19.36,11.89,25.62
ROBINSONS LAND CO,2,6/30/20,1,0.96,0.1666,0.1779,28.85,10.37,34761.32,-15.73,13.97,54.37,19.5,15.68,25.91
ROBINSONS LAND CO,3,9/30/20,0,1.18,-0.0553,-0.1876,23.05,8.44,41576.97,0.00,0,54.11,19.61,12.81,25.83
ROBINSONS LAND CO,4,12/29/20,1,1.1,0.2175,0.493,18.04,6.75,42554.35,-5.73,7.54,52.5,20.17,17.6,26.61
ROBINSONS LAND CO,1,3/31/21,0,1,-0.0976,-0.1566,39.34,9.25,43507.5,11.31,10.65,51.9,20.41,27.43,25.91
ROBINSONS LAND CO,2,6/30/21,0,0.91,0.0712,-0.0336,28.99,8.49,28435.18,24.16,11.62,37.62,24.33,18.07,21.3
ROBINSONS LAND CO,3,9/30/21,0,1.06,0.0074,-0.0741,30.35,8.62,30523.68,9.01,9.85,37.72,24.37,30.59,21.57
ROBINSONS LAND CO,4,12/31/21,1,1.1,0.0244,0.2,35.82,8.04,33758.19,20.04,8.68,34.01,24.22,20.95,19.56
ROBINSONS LAND CO,1,3/31/22,1,1.08,0.0113,0.0677,22.52,8.78,40748.75,31.87,11.53,36.93,24.85,15.82,22.92
ROBINSONS LAND CO,2,6/30/22,0,1.1,-0.1455,-0.159,38.31,9.39,42825.55,12.76,14.15,40.33,24.73,24.73,24.29
ROBINSONS LAND CO,3,9/30/22,1,0.87,-0.0673,-0.0441,39.66,11.05,45383.47,0.00,0,39.62,25.59,30.93,24.02
ROBINSONS LAND CO,4,12/29/22,0,0.85,0.1438,-0.0922,40.11,12.15,47049.86,9.85,20.66,39.26,26.36,28.68,23.82
ROBINSONS LAND CO,1,3/31/23,0,0.82,-0.0102,-0.0174,43.72,11.9,48019.59,-31.76,21.33,50.28,26.62,30.17,28.31
ROBINSONS LAND CO,2,6/30/23,0,0.89,-0.0049,-0.0286,41.63,12.65,49677.27,0.00,0,40.09,27.34,28.91,24.19
ROBINSONS RETAIL HOLDINGS IN,4,12/29/16,1,0,-0.1034,0,4.51,12.32,-4765.17,-0.97,5.39,8.09,35.16,3.87,5.75
ROBINSONS RETAIL HOLDINGS IN,1,3/31/17,0,0,0.0689,0,5.61,12.56,-4223.77,0.03,4.9,7.13,35.3,4.63,5.1
ROBINSONS RETAIL HOLDINGS IN,2,6/30/17,0,0.53,0.0727,0,5.44,12.56,-3683.12,0.00,0,7.14,36.24,4.37,5.19
ROBINSONS RETAIL HOLDINGS IN,3,9/29/17,0,1.25,0.0419,0,6.11,12.72,-8187.08,0.00,0,11.54,37.21,4.37,7.76
ROBINSONS RETAIL HOLDINGS IN,4,12/29/17,0,1.25,0.0474,-0.0283,4.4,12.69,-7092.4,0.00,0,6.62,37.92,4.18,4.74
ROBINSONS RETAIL HOLDINGS IN,1,3/28/18,0,1.19,-0.0676,-0.0717,5.56,13.03,-7641.78,0.00,0,5.75,38.02,4.48,4.08
ROBINSONS RETAIL HOLDINGS IN,2,6/29/18,0,1.18,-0.0985,-0.1097,5.19,12.98,-3289.14,0.00,0,7.33,38.71,3.86,5.36
ROBINSONS RETAIL HOLDINGS IN,3,9/28/18,0,1.15,0.0116,0.0025,4.82,11.04,-7994.04,0.00,0,9.34,43.46,3.12,6.3
ROBINSONS RETAIL HOLDINGS IN,4,12/28/18,0,1.07,0.026,0.0038,3.82,11.08,-5713.1,0.00,0,8.21,44.26,1.7,5.73
ROBINSONS RETAIL HOLDINGS IN,1,3/29/19,0,0.99,0.0609,-0.0125,4.98,11.45,17978.64,0.00,0,40.67,44.26,2.7,23.26
ROBINSONS RETAIL HOLDINGS IN,2,6/28/19,0,1.09,0.0099,-0.0633,5.01,11.74,16259.36,6.29,6.03,35.39,45.22,2.73,21.39
ROBINSONS RETAIL HOLDINGS IN,3,9/30/19,1,1.1,-0.0276,0.0676,5.27,11.13,12393.86,0.00,0,42.71,45.75,2.23,23.71
ROBINSONS RETAIL HOLDINGS IN,4,12/27/19,1,1.14,0.0047,0.0127,4.18,11.33,11386.52,10.89,8.99,38.73,46.18,2.3,23.09
ROBINSONS RETAIL HOLDINGS IN,1,3/31/20,1,1.11,-0.3191,-0.2875,3.26,10.21,9276.48,12.57,7.05,38.87,45.58,2.06,22.42
ROBINSONS RETAIL HOLDINGS IN,2,6/30/20,0,1.17,0.1666,0.1404,4.21,9.38,15896.86,6.57,6.58,41.04,45.86,2.17,24
ROBINSONS RETAIL HOLDINGS IN,3,9/30/20,1,0.97,-0.0553,0,3.65,7.96,15573.02,0.00,0,47.57,46.34,1.99,26.07
ROBINSONS RETAIL HOLDINGS IN,4,12/29/20,0,0.94,0.2175,0,3.26,7.24,15833.46,4.06,5.88,41.97,46.23,2.65,24.08
ROBINSONS RETAIL HOLDINGS IN,1,3/31/21,0,0.83,-0.0976,-0.1192,3.26,7.46,16615.48,6.33,6.33,42.83,44.59,2.02,24.61
ROBINSONS RETAIL HOLDINGS IN,2,6/30/21,0,0.79,0.0712,-0.062,3.97,7.49,16666.31,6.37,6.64,42.09,46.22,2.78,24.05
ROBINSONS RETAIL HOLDINGS IN,3,9/30/21,0,0.96,0.0074,-0.0354,5.04,8.36,17396.62,12.06,6.06,43.87,45.65,4.1,25.01
ROBINSONS RETAIL HOLDINGS IN,4,12/31/21,1,0.79,0.0244,0.2625,4.03,8.98,18287.51,12.37,7.7,40.57,45.37,2.99,23.88
ROBINSONS RETAIL HOLDINGS IN,1,3/31/22,0,0.84,0.0113,-0.1506,4.76,10.51,21160.43,10.74,9.69,46.39,44.22,3.63,26.1
ROBINSONS RETAIL HOLDINGS IN,2,6/30/22,1,0.97,-0.1455,-0.0927,5.11,11.57,19852.31,7.99,9.96,44.21,44.92,3.74,25.1
ROBINSONS RETAIL HOLDINGS IN,3,9/30/22,1,0.84,-0.0673,0.0853,5.37,12.05,16665.67,0.00,0,44.97,45.94,2.78,24.33
ROBINSONS RETAIL HOLDINGS IN,4,12/29/22,0,0.83,0.1438,-0.0155,4.09,12.15,37013.3,-9.04,11.19,60.79,51.21,1.2,31.21
ROBINSONS RETAIL HOLDINGS IN,1,3/31/23,1,0.84,-0.0102,0.0009,4.43,12.36,24302,-6.40,11.08,41.1,47.58,2.72,21.32
ROBINSONS RETAIL HOLDINGS IN,2,6/30/23,1,0.73,-0.0049,0.0148,4.78,12.14,36638.79,0.00,0,57.31,48.24,1.66,30.63
SAN MIGUEL CORP,4,12/29/16,1,1.02,-0.1034,0.1311,14.05,38.78,486701,13.33,42.15,154.91,115.1,3.19,52.26
SAN MIGUEL CORP,1,3/31/17,1,0.97,0.0689,0.1268,13.12,37.93,474017,0.21,42.37,157.71,117.13,3.4,52.83
SAN MIGUEL CORP,2,6/30/17,0,0.87,0.0727,0,14.4,39.36,479489,0.00,0,150.05,119.48,3.89,51.24
SAN MIGUEL CORP,3,9/29/17,0,0.94,0.0419,-0.0548,12.35,39.67,497810,0.00,0,149.5,121.78,3.2,51.05
SAN MIGUEL CORP,4,12/29/17,1,1.21,0.0474,0.1353,13.95,40.95,638741,0.00,0,179.77,123.23,3.13,55.37
SAN MIGUEL CORP,1,3/28/18,1,1.38,-0.0676,0.2007,12.97,43.29,683345,0.00,0,184.64,124.5,2.06,56.22
SAN MIGUEL CORP,2,6/29/18,1,1.67,-0.0985,0.0299,11.84,43.31,718950,0.00,0,193.45,125.35,2.7,56.61
SAN MIGUEL CORP,3,9/28/18,1,1.41,0.0116,0.2283,7.22,37.91,700207,0.00,0,184.34,137.4,1.22,56.29
SAN MIGUEL CORP,4,12/28/18,0,1.57,0.026,-0.1327,12.4,37,714466,0.00,0,186.8,138.71,2.28,56.2
SAN MIGUEL CORP,1,3/29/19,1,1.56,0.0609,0.1837,10.25,34.25,681699,0.00,0,168.58,139.41,2.91,54.82
SAN MIGUEL CORP,2,6/28/19,0,1.58,0.0099,0.0069,12.5,34.31,692378,-30.56,26.36,169.41,138.24,2.81,55.42
SAN MIGUEL CORP,3,9/30/19,1,1.5,-0.0276,-0.0211,10.3,35.61,707694,0.00,0,173.15,135.19,0.41,54.71
SAN MIGUEL CORP,4,12/27/19,0,1.21,0.0047,-0.0437,5.48,29.82,722364,-101.71,44.16,191.05,132.32,-0.6,57.95
SAN MIGUEL CORP,1,3/31/20,0,1.14,-0.3191,-0.4421,2.31,23.25,738897,-59.32,30.63,195.27,124.13,-4.55,58.49
SAN MIGUEL CORP,2,6/30/20,0,1.19,0.1666,0.0929,14.88,21.06,734543,-49.64,29.02,179.23,134.28,4.02,56.63
SAN MIGUEL CORP,3,9/30/20,1,1.27,-0.0553,-0.011,15.42,21.43,676922,0.00,0,156.41,144.59,1.75,53.58
SAN MIGUEL CORP,4,12/29/20,1,1.3,0.2175,0.2952,16.01,27.91,688250,15.99,32.41,159.19,144.41,4.62,54.04
SAN MIGUEL CORP,1,3/31/21,1,1.2,-0.0976,-0.071,13.78,36.67,670243,-15.99,41.97,144.94,144.83,1.81,52.1
SAN MIGUEL CORP,2,6/30/21,0,1.16,0.0712,-0.0126,11.11,37.12,737663,-13.19,43.01,155.49,132.2,-0.46,53.13
SAN MIGUEL CORP,3,9/30/21,0,1.13,0.0074,-0.0221,11.75,36.88,798815,-18.03,44.5,161.43,132.74,0.67,53.6
SAN MIGUEL CORP,4,12/31/21,0,1.05,0.0244,0,10.25,36.8,820100,-34.24,46.58,162.96,134.71,2,53.55
SAN MIGUEL CORP,1,3/31/22,0,1.2,0.0113,-0.0426,11.59,42.36,904395,-40.40,54.06,176.86,130.61,-1.95,54.34
SAN MIGUEL CORP,2,6/30/22,1,1.16,-0.1455,-0.0191,4.68,42.96,1008243,-85.25,56.12,199.21,124.19,-3.43,57.78
SAN MIGUEL CORP,3,9/30/22,0,0.96,-0.0673,-0.0922,6.6,41.61,1111280,0.00,0,223.95,115.19,0.54,59.84
SAN MIGUEL CORP,4,12/29/22,0,1.1,0.1438,-0.051,10.11,41.85,1104607,-68.79,49.22,208.81,117.55,2.55,58.19
SAN MIGUEL CORP,1,3/31/23,1,1.08,-0.0102,0.1512,10.3,39.59,1140560,-64.11,45.65,221.44,112.68,-2.39,59.25
SAN MIGUEL CORP,2,6/30/23,0,1.1,-0.0049,-0.015,10.71,47.61,1201794,0.00,0,231.13,115.78,-0.16,60.21
SECURITY BANK CORP,4,12/29/16,0,2.64,-0.1034,-0.2136,50.43,11.97,98668.73,18.61,6.12,233,132.18,45.41,31.89
SECURITY BANK CORP,1,3/31/17,0,2.56,0.0689,0.0632,49.06,10.51,143115.51,21.68,6.2,274.51,133.94,41.47,35.8
SECURITY BANK CORP,2,6/30/17,1,2.75,0.0727,0.0743,43.1,10.72,122539.8,0.00,0,238.4,136.81,38.04,30.9
SECURITY BANK CORP,3,9/29/17,1,2.69,0.0419,0.1207,48.41,11.81,80143.09,0.00,0,149.61,139.31,39.83,22.65
SECURITY BANK CORP,4,12/29/17,0,2.76,0.0474,0.0337,47.14,11.47,84109.31,0.00,0,145.38,140.19,37.25,21.88
SECURITY BANK CORP,1,3/28/18,1,2.54,-0.0676,-0.0453,42.08,10.95,77685.12,0.00,0,141.08,142.28,32.69,20.96
SECURITY BANK CORP,2,6/29/18,0,1.93,-0.0985,-0.1667,45.35,11.16,55458.34,0.00,0,123.78,144.94,35.46,18.46
SECURITY BANK CORP,3,9/28/18,0,1.89,0.0116,-0.23,39.69,10.32,60541.08,0.00,0,132.72,145.15,30.29,18.95
SECURITY BANK CORP,4,12/28/18,0,1.99,0.026,0.0065,42.38,10.41,88416.89,0.00,0,145.91,147.61,31.61,21.28
SECURITY BANK CORP,1,3/29/19,1,1.93,0.0609,0.1161,41.87,10.88,106799.21,0.00,0,159.14,151.86,32.76,23.47
SECURITY BANK CORP,2,6/28/19,0,2.3,0.0099,-0.0173,35.01,10.79,105118.52,-43.36,8.25,147.36,156.2,31.41,21.52
SECURITY BANK CORP,3,9/30/19,1,2.27,-0.0276,0.1588,29.18,10.89,66369.72,0.00,0,120.65,156.83,24.58,18
SECURITY BANK CORP,4,12/27/19,0,1.81,0.0047,-0.0102,17.56,9.97,44039.95,29.13,14.28,105.04,159.05,21.89,16.06
SECURITY BANK CORP,1,3/31/20,0,1.5,-0.3191,-0.4513,18.16,8.72,-25081.62,120.67,13.56,58.83,168.48,21.96,10.1
SECURITY BANK CORP,2,6/30/20,0,1.41,0.1666,-0.0374,-6.14,5.45,-7651.97,160.79,9.48,49.88,164.49,6.99,9.51
SECURITY BANK CORP,3,9/30/20,0,1.69,-0.0553,-0.1053,7.12,3.69,-21642.71,0.00,0,54.93,163.5,7.59,10.38
SECURITY BANK CORP,4,12/29/20,1,1.69,0.2175,0.4542,39.36,4.52,-69254.44,74.07,5.98,46.25,160.63,19.51,7.81
SECURITY BANK CORP,1,3/31/21,1,1.54,-0.0976,-0.097,24.02,4.26,-99427.08,41.92,5.99,30.56,163.94,16.29,5.37
SECURITY BANK CORP,2,6/30/21,0,1.37,0.0712,-0.0248,23.61,6.65,-107509.24,40.61,10.36,25.68,165.49,19.65,4.58
SECURITY BANK CORP,3,9/30/21,0,1.48,0.0074,-0.1017,28.78,8.2,-87698.1,43.66,11.35,26.65,165.84,22.81,4.76
SECURITY BANK CORP,4,12/31/21,1,1.32,0.0244,0.1226,40.43,8.68,-39016.65,33.07,12.86,26.62,162.42,29.76,4.61
SECURITY BANK CORP,1,3/31/22,0,1.3,0.0113,-0.084,45.33,10.28,-40145.51,-2.60,18.48,36.28,164.72,36.78,5.89
SECURITY BANK CORP,2,6/30/22,0,1.22,-0.1455,-0.1615,32.16,11.09,-30894.27,-46.39,22.62,53.8,164.85,23.7,8.37
SECURITY BANK CORP,3,9/30/22,0,1.15,-0.0673,-0.1138,11.2,9.76,-34211.78,0.00,0,71.19,166.88,21.02,10.64
SECURITY BANK CORP,4,12/29/22,0,1.2,0.1438,0.0741,31.63,9.23,32192.48,-111.29,16.71,88,170.72,24.54,14.27
