Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
ABOITIZ POWER CORP,2,6/28/19,0,1.17,0.009945802,-0.016949153,20.9672,30.0963,170303.758,0,0,173.0126,16.2585,12.1575,56.3029,,,,,,,,,,
ABOITIZ POWER CORP,3,9/30/19,1,1.32,-0.027581,0.102011494,22.6688,28.7738,203895.242,0,0,188.1283,16.0338,14.7136,58.2557,,,,,,,,,,
ABOITIZ POWER CORP,4,12/27/19,0,1.18,0.004652227,-0.10821382,26.8274,25.1292,200592.247,-2.7728,10.9761,179.3452,16.5559,15.6453,57.3318,,,,,,,,,,
ABOITIZ POWER CORP,1,3/31/20,1,1.31,-0.3191231,-0.230994152,21.395,22.7879,195662.757,0,0,174.4174,17.0607,12.495,56.7878,,,,,,,,,,
ABOITIZ POWER CORP,2,6/30/20,0,1.16,0.166594941,0.02661597,21.7006,24.0389,195406.202,-0.6934,14.8052,189.7471,16.137,7.3889,57.1883,,,,,,,,,,
ABOITIZ POWER CORP,3,9/30/20,1,1.15,-0.055332715,-0.053703704,19.8215,21.8154,200046.691,4.9473,13.036,186.7521,16.2343,6.6672,57.722,,,,,,,,,,
ABOITIZ POWER CORP,4,12/29/20,0,0.99,0.217501701,0.039138943,29.3318,21.3109,194707.796,-0.0364,13.7755,180.8693,16.4755,11.6336,57.5954,,,,,,,,,,
ABOITIZ POWER CORP,1,3/31/21,0,0.97,-0.097569789,-0.114877589,28.9825,22.1415,189628.177,0,0,169.6531,17.2803,18.5645,57.3796,,,,,,,,,,
ABOITIZ POWER CORP,2,6/30/21,0,0.94,0.071211174,0.040425532,25.5689,23.3061,187844.248,12.2249,16.6496,173.5886,17.4392,23.0043,57.8856,,,,,,,,,,
ABOITIZ POWER CORP,3,9/30/21,1,1.18,0.007384912,0.267893661,18.5524,23.662,185258.611,13.307,16.6859,160.5516,18.2488,11.812,56.0168,,,,,,,,,,
