Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
0.12,20.96,14.78,26.82,7.18,52.99,4.15,2.55,2.72,17.18,29.15,8.59,-0.01,2.4,0.3191
0.16,24.27,15.15,25.62,6.25,53.13,4.18,2.42,2.82,19.67,29.51,7.97,0.21,2.42,-0.1666
0.13,14.72,15.31,45.9,NA,52.38,4.22,2.4,2.4,11.42,28.82,8.23,0.07,2.42,0.0553
0.13,21.78,16.37,44.44,6.66,51.33,4.1,2.01,2.32,17.26,27.77,9.06,0.31,2.33,-0.2175
0.19,33.9,19.38,58.09,6.41,47.05,4.39,1.81,2.46,22.63,26.49,10.14,0.06,2.54,0.0976
0.14,22.47,18.77,-13.77,4.57,45.52,4.49,1.75,2.53,16.7,25.98,9.75,0.21,2.62,-0.0712
0.17,20.64,18.96,27.05,4.15,32.95,4.94,1.09,2.76,15.43,20.18,10.39,0.3,3.07,-0.0074
0.13,21.38,18.6,0,6.16,33.32,5.11,0.91,2.73,17.01,20.29,10.24,0.19,3.24,-0.0244
0.2,24.84,17.25,5.42,4.34,29.63,5.26,0.81,2.69,19.97,18.46,10.48,0.06,3.4,-0.0113
0.12,17.58,16.27,-10.22,4.18,27.58,5.45,0.8,2.88,13.35,17.61,10.13,0.03,3.57,0.1455
0.17,51.7,31.55,0,13.62,130.14,2.75,2.62,1.22,32.1,50.13,11.44,0.22,2.53,-0.0252
0.08,40.54,30.43,-10.99,13.5,123.34,2.83,2.68,1.53,18.8,50.07,11.07,0.06,2.61,0.1
0.07,30.09,27.45,-45.04,NA,119.41,2.93,2.66,1.55,19.72,49.29,10.07,0.14,2.72,-0.0727
0.09,29.77,23.95,-31.57,NA,111,3.02,2.79,1.45,20.15,47.27,9.42,0.04,2.81,-0.0419
0.08,34.88,19.59,-53.76,NA,107.93,3.13,3.04,1.58,16.34,46.95,7.88,0.18,2.92,-0.0474
0.11,35.26,18.73,33.33,NA,103.32,3.24,2.87,2.23,22.66,46.21,8.26,0.12,3.03,0.0676
